BOT_ID,ROI,TRADES,WIN_RATE
BTC_060,-74.76,79,0.0
BTC_061,-74.76,79,0.0
BTC_062,-74.76,79,0.0
BTC_063,-74.76,79,0.0
BTC_064,-74.76,79,0.0
BTC_065,-74.76,79,0.0
BTC_066,-74.76,79,0.0
BTC_067,-74.76,79,0.0
BTC_068,-74.76,79,0.0
BTC_069,-74.76,79,0.0
BTC_070,-74.76,79,0.0
BTC_071,-74.76,79,0.0
BTC_072,-74.76,79,0.0
BTC_199,-74.76,79,0.0
