Strategy,Entry,Exit,PnL,Type
LiquidityHunter2026,5402.01,5397.01,-0.08387647200000001,long
LiquidityHunter2026,5395.55,5380.55,0.09620603999999998,short
LiquidityHunter2026,5381.7,5386.7,-0.08376623999999999,short
LiquidityHunter2026,5402.55,5397.55,-0.08388036,long
LiquidityHunter2026,5396.05,5401.05,-0.08386956,short
LiquidityHunter2026,5401.2,5416.2,0.09605735999999998,long
LiquidityHunter2026,5399.88,5384.88,0.09617486399999998,short
LiquidityHunter2026,5402.63,5397.63,-0.083880936,long
LiquidityHunter2026,5393.19,5398.19,-0.083848968,short
LiquidityHunter2026,5395.78,5400.78,-0.08386761599999999,short
LiquidityHunter2026,5402.85,5397.85,-0.08388252,long
LiquidityHunter2026,5401.5,5416.5,0.09605519999999998,long
LiquidityHunter2026,5411.63,5426.63,0.09598226399999998,long
LiquidityHunter2026,5428.54,5423.54,-0.084067488,long
LiquidityHunter2026,5427.04,5442.04,0.09587131199999999,long
LiquidityHunter2026,5445.26,5440.26,-0.084187872,long
LiquidityHunter2026,5440.34,5435.34,-0.084152448,long
LiquidityHunter2026,5435.56,5430.56,-0.084118032,long
LiquidityHunter2026,5434.51,5429.51,-0.084110472,long
LiquidityHunter2026,5430.89,5425.89,-0.084084408,long
LiquidityHunter2026,5432.09,5427.09,-0.084093048,long
LiquidityHunter2026,5431.91,5426.91,-0.08409175199999999,long
LiquidityHunter2026,5422.46,5427.46,-0.084059712,short
LiquidityHunter2026,5428.79,5423.79,-0.08406928799999999,long
LiquidityHunter2026,5408.95,5413.95,-0.08396244,short
LiquidityHunter2026,5386.0,5391.0,-0.0837972,short
LiquidityHunter2026,5420.45,5435.45,0.09591875999999999,long
LiquidityHunter2026,5433.02,5428.02,-0.084099744,long
LiquidityHunter2026,5415.67,5420.67,-0.084010824,short
LiquidityHunter2026,5411.91,5416.91,-0.083983752,short
LiquidityHunter2026,5412.93,5397.93,0.09608090399999998,short
LiquidityHunter2026,5390.84,5395.84,-0.08383204799999999,short
LiquidityHunter2026,5391.65,5376.65,0.09623411999999998,short
LiquidityHunter2026,5378.85,5383.85,-0.08374572,short
LiquidityHunter2026,5372.89,5377.89,-0.083702808,short
LiquidityHunter2026,5361.46,5366.46,-0.083620512,short
LiquidityHunter2026,5377.55,5382.55,-0.08373636,short
LiquidityHunter2026,5376.94,5381.94,-0.08373196799999999,short
LiquidityHunter2026,5376.8,5381.8,-0.08373096,short
LiquidityHunter2026,5397.33,5392.33,-0.083842776,long
LiquidityHunter2026,5394.48,5409.48,0.09610574399999999,long
LiquidityHunter2026,5411.3,5406.3,-0.08394336,long
LiquidityHunter2026,5401.8,5396.8,-0.08387496,long
LiquidityHunter2026,5396.69,5401.69,-0.083874168,short
LiquidityHunter2026,5403.82,5418.82,0.09603849599999999,long
LiquidityHunter2026,5418.87,5433.87,0.09593013599999999,long
LiquidityHunter2026,5445.77,5440.77,-0.084191544,long
LiquidityHunter2026,5447.38,5442.38,-0.084203136,long
LiquidityHunter2026,5433.45,5438.45,-0.08413883999999999,short
LiquidityHunter2026,5437.4,5432.4,-0.08413127999999999,long
LiquidityHunter2026,5431.0,5436.0,-0.0841212,short
LiquidityHunter2026,5437.27,5432.27,-0.084130344,long
LiquidityHunter2026,5428.54,5433.54,-0.084103488,short
LiquidityHunter2026,5428.27,5413.27,0.09597045599999998,short
LiquidityHunter2026,5410.84,5415.84,-0.083976048,short
LiquidityHunter2026,5415.87,5420.87,-0.084012264,short
LiquidityHunter2026,5419.5,5424.5,-0.0840384,short
LiquidityHunter2026,5422.29,5427.29,-0.084058488,short
LiquidityHunter2026,5424.38,5429.38,-0.08407353599999999,short
LiquidityHunter2026,5432.69,5427.69,-0.08409736799999999,long
LiquidityHunter2026,5424.32,5429.32,-0.084073104,short
LiquidityHunter2026,5434.57,5429.57,-0.084110904,long
LiquidityHunter2026,5439.21,5434.21,-0.084144312,long
LiquidityHunter2026,5432.96,5427.96,-0.084099312,long
LiquidityHunter2026,5425.14,5410.14,0.09599299199999997,short
LiquidityHunter2026,5401.63,5406.63,-0.083909736,short
LiquidityHunter2026,5392.95,5397.95,-0.08384723999999999,short
LiquidityHunter2026,5390.5,5375.5,0.09624239999999998,short
LiquidityHunter2026,5373.01,5358.01,0.09636832799999998,short
LiquidityHunter2026,5341.54,5346.54,-0.08347708799999999,short
LiquidityHunter2026,5368.45,5353.45,0.09640115999999999,short
LiquidityHunter2026,5354.0,5359.0,-0.0835668,short
LiquidityHunter2026,5349.51,5334.51,0.09653752799999998,short
LiquidityHunter2026,5348.63,5353.63,-0.083528136,short
LiquidityHunter2026,5333.13,5338.13,-0.083416536,short
LiquidityHunter2026,5344.31,5349.31,-0.083497032,short
LiquidityHunter2026,5351.6,5356.6,-0.08354952,short
LiquidityHunter2026,5353.98,5338.98,0.09650534399999999,short
LiquidityHunter2026,5325.84,5330.84,-0.083364048,short
LiquidityHunter2026,5286.32,5291.32,-0.083079504,short
LiquidityHunter2026,5309.84,5314.84,-0.083248848,short
LiquidityHunter2026,5318.45,5303.45,0.09676115999999998,short
LiquidityHunter2026,5319.15,5324.15,-0.08331588,short
LiquidityHunter2026,5317.25,5322.25,-0.08330219999999999,short
LiquidityHunter2026,5332.17,5317.17,0.09666237599999998,short
LiquidityHunter2026,5323.11,5328.11,-0.08334439199999999,short
LiquidityHunter2026,5329.15,5344.15,0.09657611999999999,long
LiquidityHunter2026,5344.09,5339.09,-0.08345944799999999,long
LiquidityHunter2026,5342.26,5357.26,0.09648172799999999,long
LiquidityHunter2026,5356.45,5351.45,-0.08354843999999999,long
LiquidityHunter2026,5360.96,5355.96,-0.08358091200000001,long
LiquidityHunter2026,5357.44,5352.44,-0.083555568,long
LiquidityHunter2026,5353.5,5348.5,-0.0835272,long
LiquidityHunter2026,5342.99,5347.99,-0.08348752799999999,short
LiquidityHunter2026,5347.28,5342.28,-0.08348241599999999,long
LiquidityHunter2026,5341.74,5346.74,-0.083478528,short
LiquidityHunter2026,5337.37,5342.37,-0.083447064,short
LiquidityHunter2026,5347.31,5362.31,0.09644536799999998,long
LiquidityHunter2026,5361.91,5376.91,0.09634024799999999,long
LiquidityHunter2026,5382.75,5397.75,0.09619019999999998,long
LiquidityHunter2026,5374.56,5369.56,-0.083678832,long
LiquidityHunter2026,5368.44,5383.44,0.09629323199999998,long
LiquidityHunter2026,5383.83,5378.83,-0.08374557599999999,long
LiquidityHunter2026,5384.92,5379.92,-0.08375342399999999,long
LiquidityHunter2026,5377.46,5372.46,-0.083699712,long
LiquidityHunter2026,5366.02,5371.02,-0.083653344,short
LiquidityHunter2026,5377.01,5372.01,-0.083696472,long
LiquidityHunter2026,5375.54,5370.54,-0.083685888,long
LiquidityHunter2026,5370.64,5375.64,-0.083686608,short
LiquidityHunter2026,5377.46,5372.46,-0.083699712,long
LiquidityHunter2026,5374.46,5369.46,-0.083678112,long
LiquidityHunter2026,5367.21,5372.21,-0.08366191199999999,short
LiquidityHunter2026,5368.01,5373.01,-0.083667672,short
LiquidityHunter2026,5374.2,5369.2,-0.08367624,long
LiquidityHunter2026,5366.1,5351.1,0.09641807999999999,short
LiquidityHunter2026,5350.4,5335.4,0.09653111999999998,short
LiquidityHunter2026,5336.88,5321.88,0.09662846399999998,short
LiquidityHunter2026,5325.9,5330.9,-0.08336447999999999,short
LiquidityHunter2026,5330.17,5315.17,0.09667677599999999,short
LiquidityHunter2026,5314.59,5299.59,0.09678895199999998,short
LiquidityHunter2026,5305.5,5310.5,-0.0832176,short
LiquidityHunter2026,5323.12,5328.12,-0.083344464,short
LiquidityHunter2026,5322.05,5307.05,0.09673523999999997,short
LiquidityHunter2026,5309.05,5314.05,-0.08324316,short
LiquidityHunter2026,5325.33,5330.33,-0.083360376,short
LiquidityHunter2026,5329.02,5334.02,-0.083386944,short
LiquidityHunter2026,5337.53,5342.53,-0.08344821599999999,short
LiquidityHunter2026,5344.34,5339.34,-0.083461248,long
LiquidityHunter2026,5338.66,5323.66,0.09661564799999998,short
LiquidityHunter2026,5322.67,5307.67,0.09673077599999998,short
LiquidityHunter2026,5310.64,5315.64,-0.08325460800000001,short
LiquidityHunter2026,5306.4,5311.4,-0.08322407999999999,short
LiquidityHunter2026,5302.22,5287.22,0.09687801599999998,short
LiquidityHunter2026,5262.78,5267.78,-0.082910016,short
LiquidityHunter2026,5261.89,5246.89,0.09716839199999998,short
LiquidityHunter2026,5256.64,5261.64,-0.082865808,short
LiquidityHunter2026,5275.39,5280.39,-0.083000808,short
