ID,Logic_Base,Leverage,Risk_Per_Trade,Take_Profit,Total_Trades,WinRate,Net_Profit,ROI,MaxDD,Sharpe,Profit_Factor
54,Grid_Aggressive,100,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
55,KillZone_Scalper,25,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
56,KillZone_Scalper,25,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
57,KillZone_Scalper,25,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
58,KillZone_Scalper,25,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
59,KillZone_Scalper,25,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
60,KillZone_Scalper,25,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
61,KillZone_Scalper,25,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
62,KillZone_Scalper,25,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
63,KillZone_Scalper,25,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
64,KillZone_Scalper,50,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
65,KillZone_Scalper,50,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
66,KillZone_Scalper,50,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
67,KillZone_Scalper,50,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
68,KillZone_Scalper,50,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
69,KillZone_Scalper,50,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
70,KillZone_Scalper,50,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
71,KillZone_Scalper,50,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
72,KillZone_Scalper,50,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
73,KillZone_Scalper,100,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
74,KillZone_Scalper,100,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
75,KillZone_Scalper,100,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
76,KillZone_Scalper,100,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
77,KillZone_Scalper,100,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
78,KillZone_Scalper,100,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
79,KillZone_Scalper,100,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
80,KillZone_Scalper,100,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
81,KillZone_Scalper,100,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
82,Trend_Sniper,25,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
83,Trend_Sniper,25,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
84,Trend_Sniper,25,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
85,Trend_Sniper,25,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
