ID,GATILLO_USD,TOTAL_TRADES,TRADES_DIA,ROI_FINAL
HFT_TITAN_081,4.15,365,36.5,-100.0
HFT_TITAN_147,7.45,365,36.5,-100.0
HFT_TITAN_055,2.85,365,36.5,-100.0
HFT_TITAN_185,9.35,364,36.4,-100.0
HFT_TITAN_063,3.25,364,36.4,-100.0
HFT_TITAN_007,0.45,364,36.4,-100.0
HFT_TITAN_141,7.15,361,36.1,-100.0
HFT_TITAN_054,2.8,361,36.1,-100.0
HFT_TITAN_105,5.35,360,36.0,-100.0
HFT_TITAN_128,6.5,360,36.0,-100.0
HFT_TITAN_157,7.95,360,36.0,-100.0
HFT_TITAN_177,8.95,359,35.9,-100.0
HFT_TITAN_116,5.9,358,35.8,-100.0
HFT_TITAN_180,9.1,358,35.8,-100.0
HFT_TITAN_095,4.85,358,35.8,-100.0
HFT_TITAN_197,9.95,358,35.8,-100.0
HFT_TITAN_049,2.55,358,35.8,-100.0
HFT_TITAN_161,8.15,357,35.7,-100.0
HFT_TITAN_163,8.25,357,35.7,-100.0
HFT_TITAN_002,0.2,356,35.6,-100.0
HFT_TITAN_172,8.7,355,35.5,-100.0
HFT_TITAN_150,7.6,355,35.5,-100.0
HFT_TITAN_052,2.7,354,35.4,-100.0
HFT_TITAN_069,3.55,354,35.4,-100.0
HFT_TITAN_113,5.75,353,35.3,-100.0
HFT_TITAN_025,1.35,353,35.3,-100.0
HFT_TITAN_045,2.35,352,35.2,-100.0
HFT_TITAN_051,2.65,352,35.2,-100.0
HFT_TITAN_135,6.85,350,35.0,-100.0
HFT_TITAN_044,2.3,350,35.0,-100.0
HFT_TITAN_001,0.15,350,35.0,-100.0
HFT_TITAN_123,6.25,350,35.0,-100.0
HFT_TITAN_005,0.35,349,34.9,-100.0
HFT_TITAN_006,0.4,349,34.9,-100.0
HFT_TITAN_059,3.05,347,34.7,-100.0
HFT_TITAN_192,9.7,346,34.6,-100.0
HFT_TITAN_148,7.5,344,34.4,-100.0
HFT_TITAN_182,9.2,343,34.3,-100.0
HFT_TITAN_199,10.05,343,34.3,-100.0
HFT_TITAN_133,6.75,343,34.3,-100.0
HFT_TITAN_010,0.6,342,34.2,-100.0
HFT_TITAN_127,6.45,342,34.2,-100.0
HFT_TITAN_190,9.6,341,34.1,-100.0
HFT_TITAN_057,2.95,339,33.9,-100.0
HFT_TITAN_169,8.55,338,33.8,-100.0
HFT_TITAN_104,5.3,336,33.6,-100.0
HFT_TITAN_030,1.6,336,33.6,-100.0
HFT_TITAN_065,3.35,336,33.6,-100.0
HFT_TITAN_031,1.65,335,33.5,-100.0
HFT_TITAN_029,1.55,332,33.2,-100.0
HFT_TITAN_154,7.8,331,33.1,-100.0
HFT_TITAN_108,5.5,330,33.0,-100.0
HFT_TITAN_062,3.2,328,32.8,-100.0
HFT_TITAN_058,3.0,325,32.5,-100.0
HFT_TITAN_067,3.45,323,32.3,-100.0
