BOT_ID,UMBRAL_USD,TRADES,ROI_FINAL,EQUITY
BTC_RIGOR_039,83,1183,-100.0,0.0
BTC_RIGOR_023,51,2487,-100.0,0.0
BTC_RIGOR_041,87,1068,-100.0,0.0
BTC_RIGOR_042,89,1025,-100.0,0.0
BTC_RIGOR_043,91,978,-100.0,0.0
BTC_RIGOR_024,53,2362,-100.0,0.0
BTC_RIGOR_015,35,3612,-100.0,0.0
BTC_RIGOR_022,49,2616,-100.0,0.0
BTC_RIGOR_021,47,2742,-100.0,0.0
BTC_RIGOR_002,9,6266,-100.0,0.0
BTC_RIGOR_003,11,6047,-100.0,0.0
BTC_RIGOR_004,13,5819,-100.0,0.0
BTC_RIGOR_005,15,5618,-100.0,0.0
BTC_RIGOR_006,17,5418,-100.0,0.0
BTC_RIGOR_007,19,5195,-100.0,0.0
BTC_RIGOR_008,21,4986,-100.0,0.0
BTC_RIGOR_009,23,4759,-100.0,0.0
BTC_RIGOR_010,25,4557,-100.0,0.0
BTC_RIGOR_011,27,4356,-100.0,0.0
BTC_RIGOR_012,29,4170,-100.0,0.0
BTC_RIGOR_013,31,3983,-100.0,0.0
BTC_RIGOR_014,33,3799,-100.0,0.0
BTC_RIGOR_045,95,899,-100.0,0.0
BTC_RIGOR_016,37,3451,-100.0,0.0
BTC_RIGOR_017,39,3304,-100.0,0.0
BTC_RIGOR_018,41,3159,-100.0,0.0
BTC_RIGOR_019,43,3024,-100.0,0.0
BTC_RIGOR_020,45,2874,-100.0,0.0
BTC_RIGOR_044,93,939,-100.0,0.0
BTC_RIGOR_054,113,620,-100.0,0.0
BTC_RIGOR_046,97,853,-100.0,0.0
BTC_RIGOR_070,145,345,-100.0,0.0
BTC_RIGOR_072,149,310,-100.0,0.0
BTC_RIGOR_073,151,295,-100.0,0.0
BTC_RIGOR_074,153,284,-100.0,0.0
BTC_RIGOR_075,155,274,-100.0,0.0
BTC_RIGOR_076,157,264,-100.0,0.0
BTC_RIGOR_077,159,254,-100.0,0.0
BTC_RIGOR_078,161,245,-100.0,0.0
BTC_RIGOR_079,163,236,-100.0,0.0
BTC_RIGOR_080,165,229,-100.0,0.0
BTC_RIGOR_081,167,217,-100.0,0.01
BTC_RIGOR_082,169,204,-100.0,0.01
BTC_RIGOR_083,171,192,-100.0,0.02
BTC_RIGOR_084,173,189,-100.0,0.01
BTC_RIGOR_085,175,181,-100.0,0.01
BTC_RIGOR_086,177,175,-100.0,0.01
BTC_RIGOR_087,179,169,-100.0,0.01
BTC_RIGOR_088,181,165,-100.0,0.01
BTC_RIGOR_089,183,156,-100.0,0.02
BTC_RIGOR_001,7,6473,-100.0,0.0
BTC_RIGOR_071,147,324,-100.0,0.0
BTC_RIGOR_069,143,353,-100.0,0.0
BTC_RIGOR_047,99,819,-100.0,0.0
BTC_RIGOR_068,141,366,-100.0,0.0
BTC_RIGOR_048,101,798,-100.0,0.0
BTC_RIGOR_049,103,753,-100.0,0.0
BTC_RIGOR_050,105,721,-100.0,0.0
BTC_RIGOR_051,107,689,-100.0,0.0
BTC_RIGOR_052,109,660,-100.0,0.0
BTC_RIGOR_053,111,637,-100.0,0.0
BTC_RIGOR_055,115,594,-100.0,0.0
BTC_RIGOR_056,117,577,-100.0,0.0
BTC_RIGOR_057,119,555,-100.0,0.0
BTC_RIGOR_058,121,532,-100.0,0.0
BTC_RIGOR_059,123,515,-100.0,0.0
BTC_RIGOR_060,125,504,-100.0,0.0
BTC_RIGOR_061,127,480,-100.0,0.0
BTC_RIGOR_062,129,467,-100.0,0.0
BTC_RIGOR_063,131,451,-100.0,0.0
BTC_RIGOR_064,133,428,-100.0,0.0
BTC_RIGOR_065,135,415,-100.0,0.0
BTC_RIGOR_066,137,398,-100.0,0.0
BTC_RIGOR_067,139,381,-100.0,0.0
BTC_RIGOR_000,5,6710,-100.0,0.0
