ID,FAST_EMA,SLOW_EMA,SL_PCT,ROI,TRADES,WIN_RATE
VARIACION_099,3,14,2.74,-43.04,9,22.22
VARIACION_194,6,20,1.08,-43.05,23,13.04
VARIACION_003,10,25,1.08,-43.07,23,13.04
VARIACION_196,10,12,1.23,-43.42,22,18.18
VARIACION_121,10,12,2.61,-43.65,10,30.0
VARIACION_059,4,24,2.34,-43.92,13,23.08
VARIACION_111,6,12,1.24,-44.4,22,18.18
VARIACION_094,7,13,0.91,-44.48,27,11.11
VARIACION_147,4,17,2.83,-45.12,9,22.22
VARIACION_097,9,17,2.9,-45.97,9,22.22
VARIACION_163,9,25,2.94,-46.37,9,22.22
VARIACION_182,8,19,2.77,-46.43,9,22.22
VARIACION_041,8,15,2.77,-46.43,9,22.22
VARIACION_197,5,21,2.87,-46.49,9,22.22
VARIACION_172,3,19,2.92,-46.63,9,22.22
VARIACION_123,4,19,2.47,-46.67,10,20.0
VARIACION_122,4,17,2.88,-46.82,9,22.22
VARIACION_063,8,23,2.93,-46.97,9,22.22
VARIACION_162,5,17,2.79,-47.06,9,22.22
VARIACION_136,6,17,2.48,-47.07,10,20.0
VARIACION_001,6,20,2.8,-47.38,9,22.22
VARIACION_078,10,12,2.49,-47.44,10,20.0
VARIACION_144,5,17,2.49,-47.45,10,20.0
VARIACION_066,8,20,1.01,-48.16,25,12.0
VARIACION_017,7,19,2.83,-48.41,9,22.22
VARIACION_193,5,15,1.02,-49.39,25,12.0
VARIACION_091,3,18,1.03,-49.65,25,12.0
VARIACION_032,8,20,0.99,-49.68,26,11.54
VARIACION_160,4,20,2.96,-50.05,9,22.22
VARIACION_033,6,24,0.87,-50.22,29,10.34
VARIACION_016,3,17,2.99,-50.5,9,22.22
VARIACION_150,4,16,1.54,-53.62,15,13.33
VARIACION_181,4,24,1.1,-53.98,8,12.5
VARIACION_029,9,15,0.9,-54.46,29,10.34
VARIACION_183,8,11,1.1,-55.74,25,12.0
VARIACION_104,4,21,2.1,-56.14,12,16.67
VARIACION_089,3,17,1.34,-56.75,17,11.76
VARIACION_093,3,19,0.95,-56.84,22,9.09
VARIACION_040,9,17,1.11,-56.89,25,12.0
VARIACION_137,7,19,1.24,-57.04,19,15.79
VARIACION_086,6,16,1.35,-57.56,17,11.76
VARIACION_025,6,15,1.35,-57.56,17,11.76
VARIACION_131,10,13,1.13,-59.17,25,12.0
VARIACION_129,3,14,2.34,-64.38,12,25.0
VARIACION_146,3,12,0.7,-67.2,31,6.45
VARIACION_051,10,13,1.36,-67.31,18,11.11
VARIACION_000,5,23,1.36,-67.32,18,11.11
VARIACION_138,4,13,0.74,-68.87,30,6.67
VARIACION_061,9,13,0.63,-69.38,34,5.88
VARIACION_085,9,11,1.4,-71.55,18,11.11
VARIACION_039,3,15,0.51,-72.31,42,7.14
VARIACION_114,8,11,1.41,-72.39,18,11.11
VARIACION_018,8,21,1.34,-73.97,19,10.53
VARIACION_149,5,19,1.72,-75.86,16,12.5
VARIACION_106,3,12,1.73,-76.59,16,12.5
VARIACION_036,4,13,0.69,-77.53,34,8.82
VARIACION_043,6,15,0.75,-84.21,33,6.06
VARIACION_102,3,18,0.71,-84.54,35,8.57
VARIACION_023,3,13,2.16,-85.79,11,9.09
VARIACION_139,4,12,2.16,-85.79,11,9.09
VARIACION_056,8,15,2.18,-86.17,14,14.29
VARIACION_153,7,24,2.21,-87.59,11,9.09
VARIACION_064,8,25,2.19,-88.93,11,9.09
VARIACION_047,6,24,1.26,-89.63,22,9.09
