ID,TP_USD,TOTAL_TRADES,TRADES_DIA,ROI,ESTADO
METRALLETA_110,55.5,2044,146.0,-100.0,LIQUIDADO
METRALLETA_098,49.5,2044,146.0,-100.0,LIQUIDADO
METRALLETA_086,43.5,2042,145.9,-100.0,LIQUIDADO
METRALLETA_073,37.0,2041,145.8,-100.0,LIQUIDADO
METRALLETA_089,45.0,2040,145.7,-100.0,LIQUIDADO
METRALLETA_102,51.5,2040,145.7,-100.0,LIQUIDADO
METRALLETA_077,39.0,2037,145.5,-100.0,LIQUIDADO
METRALLETA_137,69.0,2036,145.4,-100.0,LIQUIDADO
METRALLETA_140,70.5,2034,145.3,-100.0,LIQUIDADO
METRALLETA_117,59.0,2032,145.1,-100.0,LIQUIDADO
METRALLETA_103,52.0,2029,144.9,-100.0,LIQUIDADO
METRALLETA_094,47.5,2027,144.8,-100.0,LIQUIDADO
METRALLETA_075,38.0,2021,144.4,-100.0,LIQUIDADO
METRALLETA_080,40.5,2020,144.3,-100.0,LIQUIDADO
METRALLETA_128,64.5,2019,144.2,-100.0,LIQUIDADO
METRALLETA_109,55.0,2018,144.1,-100.0,LIQUIDADO
METRALLETA_167,84.0,2016,144.0,-100.0,LIQUIDADO
METRALLETA_136,68.5,2015,143.9,-100.0,LIQUIDADO
METRALLETA_068,34.5,2014,143.9,-100.0,LIQUIDADO
METRALLETA_112,56.5,2012,143.7,-100.0,LIQUIDADO
METRALLETA_107,54.0,2011,143.6,-100.0,LIQUIDADO
METRALLETA_162,81.5,2009,143.5,-100.0,LIQUIDADO
METRALLETA_076,38.5,2004,143.1,-100.0,LIQUIDADO
METRALLETA_069,35.0,2001,142.9,-100.0,LIQUIDADO
METRALLETA_092,46.5,2001,142.9,-100.0,LIQUIDADO
METRALLETA_062,31.5,2001,142.9,-100.0,LIQUIDADO
METRALLETA_087,44.0,1999,142.8,-100.0,LIQUIDADO
METRALLETA_152,76.5,1998,142.7,-100.0,LIQUIDADO
METRALLETA_072,36.5,1993,142.4,-100.0,LIQUIDADO
METRALLETA_059,30.0,1989,142.1,-100.0,LIQUIDADO
METRALLETA_065,33.0,1989,142.1,-100.0,LIQUIDADO
METRALLETA_088,44.5,1988,142.0,-100.0,LIQUIDADO
METRALLETA_096,48.5,1986,141.9,-100.0,LIQUIDADO
METRALLETA_071,36.0,1985,141.8,-100.0,LIQUIDADO
METRALLETA_063,32.0,1984,141.7,-100.0,LIQUIDADO
METRALLETA_100,50.5,1981,141.5,-100.0,LIQUIDADO
METRALLETA_116,58.5,1980,141.4,-100.0,LIQUIDADO
METRALLETA_078,39.5,1979,141.4,-100.0,LIQUIDADO
METRALLETA_081,41.0,1978,141.3,-100.0,LIQUIDADO
METRALLETA_122,61.5,1977,141.2,-100.0,LIQUIDADO
METRALLETA_054,27.5,1973,140.9,-100.0,LIQUIDADO
METRALLETA_066,33.5,1972,140.9,-100.0,LIQUIDADO
METRALLETA_079,40.0,1972,140.9,-100.0,LIQUIDADO
METRALLETA_064,32.5,1971,140.8,-100.0,LIQUIDADO
METRALLETA_058,29.5,1966,140.4,-100.0,LIQUIDADO
METRALLETA_074,37.5,1962,140.1,-100.0,LIQUIDADO
METRALLETA_037,19.0,1961,140.1,-100.0,LIQUIDADO
METRALLETA_061,31.0,1961,140.1,-100.0,LIQUIDADO
METRALLETA_046,23.5,1961,140.1,-100.0,LIQUIDADO
METRALLETA_055,28.0,1961,140.1,-100.0,LIQUIDADO
METRALLETA_057,29.0,1959,139.9,-100.0,LIQUIDADO
METRALLETA_047,24.0,1958,139.9,-100.0,LIQUIDADO
METRALLETA_053,27.0,1957,139.8,-100.0,LIQUIDADO
METRALLETA_048,24.5,1955,139.6,-100.0,LIQUIDADO
METRALLETA_043,22.0,1952,139.4,-100.0,LIQUIDADO
METRALLETA_050,25.5,1950,139.3,-100.0,LIQUIDADO
METRALLETA_051,26.0,1949,139.2,-100.0,LIQUIDADO
METRALLETA_044,22.5,1947,139.1,-100.0,LIQUIDADO
METRALLETA_083,42.0,1946,139.0,-100.0,LIQUIDADO
METRALLETA_041,21.0,1941,138.6,-100.0,LIQUIDADO
METRALLETA_039,20.0,1937,138.4,-100.0,LIQUIDADO
METRALLETA_049,25.0,1934,138.1,-100.0,LIQUIDADO
METRALLETA_070,35.5,1933,138.1,-100.0,LIQUIDADO
METRALLETA_035,18.0,1933,138.1,-100.0,LIQUIDADO
METRALLETA_038,19.5,1932,138.0,-100.0,LIQUIDADO
METRALLETA_056,28.5,1932,138.0,-100.0,LIQUIDADO
METRALLETA_067,34.0,1929,137.8,-100.0,LIQUIDADO
METRALLETA_060,30.5,1928,137.7,-100.0,LIQUIDADO
METRALLETA_052,26.5,1923,137.4,-100.0,LIQUIDADO
METRALLETA_045,23.0,1922,137.3,-100.0,LIQUIDADO
METRALLETA_020,10.5,1922,137.3,-100.0,LIQUIDADO
METRALLETA_027,14.0,1919,137.1,-100.0,LIQUIDADO
METRALLETA_032,16.5,1917,136.9,-100.0,LIQUIDADO
METRALLETA_029,15.0,1913,136.6,-100.0,LIQUIDADO
METRALLETA_040,20.5,1911,136.5,-100.0,LIQUIDADO
METRALLETA_024,12.5,1910,136.4,-100.0,LIQUIDADO
METRALLETA_028,14.5,1910,136.4,-100.0,LIQUIDADO
METRALLETA_036,18.5,1908,136.3,-100.0,LIQUIDADO
METRALLETA_031,16.0,1907,136.2,-100.0,LIQUIDADO
METRALLETA_034,17.5,1906,136.1,-100.0,LIQUIDADO
METRALLETA_033,17.0,1905,136.1,-100.0,LIQUIDADO
METRALLETA_023,12.0,1903,135.9,-100.0,LIQUIDADO
METRALLETA_017,9.0,1900,135.7,-100.0,LIQUIDADO
METRALLETA_018,9.5,1897,135.5,-100.0,LIQUIDADO
METRALLETA_021,11.0,1896,135.4,-100.0,LIQUIDADO
METRALLETA_011,6.0,1895,135.4,-100.0,LIQUIDADO
METRALLETA_016,8.5,1894,135.3,-100.0,LIQUIDADO
METRALLETA_042,21.5,1894,135.3,-100.0,LIQUIDADO
METRALLETA_030,15.5,1893,135.2,-100.0,LIQUIDADO
METRALLETA_025,13.0,1892,135.1,-100.0,LIQUIDADO
METRALLETA_013,7.0,1892,135.1,-100.0,LIQUIDADO
METRALLETA_014,7.5,1891,135.1,-100.0,LIQUIDADO
METRALLETA_015,8.0,1890,135.0,-100.0,LIQUIDADO
METRALLETA_026,13.5,1890,135.0,-100.0,LIQUIDADO
METRALLETA_022,11.5,1888,134.9,-100.0,LIQUIDADO
METRALLETA_019,10.0,1884,134.6,-100.0,LIQUIDADO
METRALLETA_012,6.5,1883,134.5,-100.0,LIQUIDADO
METRALLETA_009,5.0,1882,134.4,-100.0,LIQUIDADO
METRALLETA_010,5.5,1881,134.4,-100.0,LIQUIDADO
METRALLETA_007,4.0,1880,134.3,-100.0,LIQUIDADO
METRALLETA_008,4.5,1876,134.0,-100.0,LIQUIDADO
METRALLETA_006,3.5,1873,133.8,-100.0,LIQUIDADO
METRALLETA_005,3.0,1873,133.8,-100.0,LIQUIDADO
METRALLETA_003,2.0,1872,133.7,-100.0,LIQUIDADO
METRALLETA_004,2.5,1871,133.6,-100.0,LIQUIDADO
METRALLETA_002,1.5,1867,133.4,-100.0,LIQUIDADO
METRALLETA_001,1.0,1865,133.2,-100.0,LIQUIDADO
METRALLETA_000,0.5,1864,133.1,-100.0,LIQUIDADO
