ID,Estrategia,Logica,ROI_%,WinRate_%,MaxDD_%,Trades,Final_USD
164,SMC_Institutional_v164,SMC_Institutional,-100.0,40.0,101.53,5,0.0
165,Trend_Sniper_v165,Trend_Sniper,-100.0,40.0,105.28,5,0.0
166,Mean_Reversion_v166,Mean_Reversion,0.0,0.0,0.0,0,500.0
167,Dynamic_Grid_v167,Dynamic_Grid,0.0,0.0,0.0,0,500.0
168,SMC_Institutional_v168,SMC_Institutional,-100.0,40.0,110.17,5,0.0
169,Trend_Sniper_v169,Trend_Sniper,-100.0,40.0,106.0,5,0.0
170,Mean_Reversion_v170,Mean_Reversion,0.0,0.0,0.0,0,500.0
171,Dynamic_Grid_v171,Dynamic_Grid,0.0,0.0,0.0,0,500.0
172,SMC_Institutional_v172,SMC_Institutional,-100.0,28.57,125.35,7,0.0
173,Trend_Sniper_v173,Trend_Sniper,-100.0,40.0,103.3,5,0.0
174,Mean_Reversion_v174,Mean_Reversion,0.0,0.0,0.0,0,500.0
175,Dynamic_Grid_v175,Dynamic_Grid,0.0,0.0,0.0,0,500.0
176,SMC_Institutional_v176,SMC_Institutional,-100.0,33.33,173.73,6,0.0
177,Trend_Sniper_v177,Trend_Sniper,-100.0,33.33,112.81,12,0.0
178,Mean_Reversion_v178,Mean_Reversion,0.0,0.0,0.0,0,500.0
179,Dynamic_Grid_v179,Dynamic_Grid,0.0,0.0,0.0,0,500.0
180,SMC_Institutional_v180,SMC_Institutional,-100.0,28.57,104.58,7,0.0
181,Trend_Sniper_v181,Trend_Sniper,-100.0,36.36,119.22,11,0.0
182,Mean_Reversion_v182,Mean_Reversion,0.0,0.0,0.0,0,500.0
183,Dynamic_Grid_v183,Dynamic_Grid,0.0,0.0,0.0,0,500.0
184,SMC_Institutional_v184,SMC_Institutional,-100.0,40.0,100.08,5,0.0
185,Trend_Sniper_v185,Trend_Sniper,-100.0,44.44,118.27,9,0.0
186,Mean_Reversion_v186,Mean_Reversion,0.0,0.0,0.0,0,500.0
187,Dynamic_Grid_v187,Dynamic_Grid,0.0,0.0,0.0,0,500.0
188,SMC_Institutional_v188,SMC_Institutional,-100.0,33.33,173.18,6,0.0
189,Trend_Sniper_v189,Trend_Sniper,-100.0,40.0,106.77,5,0.0
190,Mean_Reversion_v190,Mean_Reversion,0.0,0.0,0.0,0,500.0
191,Dynamic_Grid_v191,Dynamic_Grid,0.0,0.0,0.0,0,500.0
192,SMC_Institutional_v192,SMC_Institutional,-100.0,33.33,118.11,6,0.0
193,Trend_Sniper_v193,Trend_Sniper,-100.0,40.0,124.94,10,0.0
194,Mean_Reversion_v194,Mean_Reversion,0.0,0.0,0.0,0,500.0
195,Dynamic_Grid_v195,Dynamic_Grid,0.0,0.0,0.0,0,500.0
196,SMC_Institutional_v196,SMC_Institutional,-100.0,40.0,111.42,5,0.0
197,Trend_Sniper_v197,Trend_Sniper,-100.0,38.1,103.97,42,0.0
198,Mean_Reversion_v198,Mean_Reversion,0.0,0.0,0.0,0,500.0
199,Dynamic_Grid_v199,Dynamic_Grid,0.0,0.0,0.0,0,500.0
200,SMC_Institutional_v200,SMC_Institutional,-100.0,33.33,120.32,6,0.0
