type,entry,exit,profit
LONG,5429.35,5428.99,-0.01603088358406016
LONG,5428.81,5428.54,-0.011503503808674044
LONG,5429.06,5422.4,-0.2716845585712272
LONG,5425.41,5426.19,0.02861294840493476
LONG,5425.91,5429.06,0.11175020466189621
LONG,5412.55,5414.61,0.07245675470150581
LONG,5415.01,5416.31,0.044745588474216974
LONG,5419.96,5419.44,-0.017381175990059547
LONG,5424.3,5419.71,-0.14643188290028267
LONG,5425.2,5425.0,-0.0058542205634274065
LONG,5420.1,5419.36,-0.02077377808605111
LONG,5421.77,5439.21,0.46651670522049815
LONG,5436.86,5426.01,-0.32438399021875397
LONG,5429.43,5423.6,-0.15013452900764263
LONG,5423.08,5421.65,-0.033413603499725754
LONG,5423.08,5419.0,-0.09026313868197808
LONG,5368.83,5354.86,-0.28795010283349876
LONG,5364.81,5350.24,-0.24940361113496015
LONG,5346.55,5361.18,0.20709816914001988
LONG,5353.98,5353.44,-0.008372114580518352
LONG,5306.7,5299.74,-0.10396466549031488
LONG,5312.98,5314.01,0.013744536249434508
LONG,5325.56,5313.89,-0.15065004084900666
LONG,5313.3,5315.45,0.023656803608159842
LONG,5318.05,5317.25,-0.008620747268810095
LONG,5318.73,5331.65,0.13259150391597788
LONG,5333.37,5322.09,-0.12484135854271583
LONG,5328.84,5323.88,-0.04693144732816368
LONG,5323.15,5320.24,-0.025177945918580864
LONG,5315.87,5316.62,0.006060441145518113
LONG,5318.73,5336.42,0.13816143325711366
LONG,5345.29,5343.32,-0.017242092918337327
LONG,5348.44,5344.46,-0.03277942760665363
LONG,5341.59,5340.56,-0.007838073490842113
LONG,5344.87,5344.25,-0.004481082926506528
LONG,5347.76,5350.01,0.015508772487766064
LONG,5359.62,5353.15,-0.043653461878575696
LONG,5357.44,5359.42,0.012023031504286618
LONG,5356.13,5348.8,-0.043561938097942676
LONG,5353.36,5350.19,-0.016804711911703567
LONG,5354.57,5351.98,-0.01277126924772944
LONG,5348.14,5341.75,-0.029521778981277603
LONG,5333.91,5339.59,0.02368663246476814
LONG,5343.33,5338.95,-0.018474291804829297
LONG,5338.96,5337.37,-0.006168231642118277
LONG,5340.91,5346.36,0.019974726117550027
LONG,5355.01,5351.53,-0.012860861852288113
LONG,5350.39,5347.11,-0.0112525424318976
LONG,5348.42,5347.65,-0.0024558403396110593
LONG,5350.84,5358.48,0.023206383897630696
LONG,5358.33,5383.14,0.07761480239178477
LONG,5372.69,5370.67,-0.007508795863087263
LONG,5366.01,5378.34,0.04319180195572265
LONG,5383.56,5393.99,0.03914261735682397
LONG,5391.7,5386.72,-0.019721682638144798
LONG,5368.22,5360.6,-0.02769592613363367
LONG,5358.1,5362.27,0.013499492094048998
